0,,,,6/10/2017 18:23:57
1,16,23,18,6/10/2017 18:25:14
2,23,22,19,6/10/2017 18:25:15
3,28,20,19,6/10/2017 18:25:16
4,32,20,19,6/10/2017 18:25:17
5,35,20,19,6/10/2017 18:25:18
6,37,20,19,6/10/2017 18:25:19
7,39,21,18,6/10/2017 18:25:20
8,40,20,19,6/10/2017 18:25:21
9,41,20,19,6/10/2017 18:25:22
10,42,20,19,6/10/2017 18:25:23
11,42,20,19,6/10/2017 18:25:24
12,42,21,18,6/10/2017 18:25:25
13,43,20,19,6/10/2017 18:25:26
14,43,21,18,6/10/2017 18:25:27
15,43,21,18,6/10/2017 18:25:28
16,43,20,19,6/10/2017 18:25:29
17,43,21,18,6/10/2017 18:25:30
18,43,20,19,6/10/2017 18:25:31
19,43,20,19,6/10/2017 18:25:32
20,43,21,20,6/10/2017 18:25:33
21,43,21,18,6/10/2017 18:25:34
22,43,21,18,6/10/2017 18:25:35
23,43,21,18,6/10/2017 18:25:36
24,43,22,18,6/10/2017 18:25:37
25,43,20,21,6/10/2017 18:25:38
26,44,21,18,6/10/2017 18:25:39
27,43,21,18,6/10/2017 18:25:40
28,43,23,18,6/10/2017 18:25:41
29,43,21,18,6/10/2017 18:25:42
30,43,21,18,6/10/2017 18:25:43
31,43,21,18,6/10/2017 18:25:44
32,43,21,18,6/10/2017 18:25:45
33,43,21,18,6/10/2017 18:25:46
34,43,21,18,6/10/2017 18:25:48
35,43,21,18,6/10/2017 18:25:49
36,43,21,18,6/10/2017 18:25:50
37,44,21,18,6/10/2017 18:25:51
38,252,21,20,6/10/2017 18:25:52
39,410,23,18,6/10/2017 18:25:53
40,537,21,18,6/10/2017 18:25:54
41,618,21,18,6/10/2017 18:25:55
42,677,21,18,6/10/2017 18:25:56
43,720,21,18,6/10/2017 18:25:57
44,750,21,18,6/10/2017 18:25:58
45,770,21,18,6/10/2017 18:25:59
46,783,21,18,6/10/2017 18:26:00
47,792,21,18,6/10/2017 18:26:01
48,801,21,18,6/10/2017 18:26:02
49,807,21,18,6/10/2017 18:26:03
50,813,21,31,6/10/2017 18:26:04
51,838,21,18,6/10/2017 18:26:05
52,862,21,18,6/10/2017 18:26:06
53,878,21,18,6/10/2017 18:26:07
54,890,21,18,6/10/2017 18:26:08
55,898,21,18,6/10/2017 18:26:09
56,906,21,18,6/10/2017 18:26:10
57,912,21,18,6/10/2017 18:26:11
58,914,21,18,6/10/2017 18:26:12
59,697,21,18,6/10/2017 18:26:13
60,534,21,18,6/10/2017 18:26:14
61,411,21,18,6/10/2017 18:26:15
62,319,21,18,6/10/2017 18:26:16
63,250,21,18,6/10/2017 18:26:17
64,199,21,18,6/10/2017 18:26:18
65,160,21,18,6/10/2017 18:26:19
66,131,21,20,6/10/2017 18:26:20
67,109,21,18,6/10/2017 18:26:21
68,93,21,18,6/10/2017 18:26:22
69,80,21,18,6/10/2017 18:26:23
70,71,21,18,6/10/2017 18:26:24
71,65,21,18,6/10/2017 18:26:25
72,59,21,18,6/10/2017 18:26:26
73,55,21,18,6/10/2017 18:26:27
74,52,21,18,6/10/2017 18:26:28
75,50,21,18,6/10/2017 18:26:29
76,48,21,18,6/10/2017 18:26:30
77,47,21,18,6/10/2017 18:26:31
78,46,21,18,6/10/2017 18:26:32
79,46,21,17,6/10/2017 18:26:33
80,45,21,18,6/10/2017 18:26:35
81,45,21,18,6/10/2017 18:26:36
82,45,21,17,6/10/2017 18:26:37
83,44,21,18,6/10/2017 18:26:38
84,44,21,18,6/10/2017 18:26:39
85,44,21,17,6/10/2017 18:26:40
